time,edge,density,speed,waiting,mode,congestion
10,N5_N2,0,13.9,0.0,0,0
10,N5_N4,0,13.9,0.0,0,0
10,N5_N6,0,13.9,0.0,0,0
10,N5_N8,0,13.9,0.0,0,0
10,N6_N3,0,13.9,0.0,0,0
10,N6_N5,0,13.9,0.0,0,0
10,N6_N9,0,13.9,0.0,0,0
10,N7_N4,0,13.9,0.0,0,0
10,N7_N8,0,13.9,0.0,0,0
10,N8_N5,0,13.9,0.0,0,0
10,N8_N7,0,13.9,0.0,0,0
10,N8_N9,0,13.9,0.0,0,0
10,N9_N6,0,13.9,0.0,0,0
10,N9_N8,0,13.9,0.0,0,0
11,N1_N2,3,10.874536208831703,0.0,0,0
11,N1_N4,4,10.852621205667965,0.0,0,0
11,N2_N1,0,13.9,0.0,0,0
11,N2_N3,0,13.9,0.0,0,0
11,N2_N5,0,13.9,0.0,0,0
11,N3_N2,0,13.9,0.0,0,0
11,N3_N6,4,10.605460313755625,0.0,0,0
11,N4_N1,0,13.9,0.0,0,0
11,N4_N5,0,13.9,0.0,0,0
11,N4_N7,0,13.9,0.0,0,0
11,N5_N2,0,13.9,0.0,0,0
11,N5_N4,0,13.9,0.0,0,0
11,N5_N6,0,13.9,0.0,0,0
11,N5_N8,0,13.9,0.0,0,0
11,N6_N3,0,13.9,0.0,0,0
11,N6_N5,0,13.9,0.0,0,0
11,N6_N9,0,13.9,0.0,0,0
11,N7_N4,0,13.9,0.0,0,0
11,N7_N8,0,13.9,0.0,0,0
11,N8_N5,0,13.9,0.0,0,0
11,N8_N7,0,13.9,0.0,0,0
11,N8_N9,0,13.9,0.0,0,0
11,N9_N6,0,13.9,0.0,0,0
11,N9_N8,0,13.9,0.0,0,0
12,N1_N2,4,9.88226104613083,0.0,0,0
12,N1_N4,5,9.692227160308448,0.0,0,0
12,N2_N1,0,13.9,0.0,0,0
12,N2_N3,0,13.9,0.0,0,0
12,N2_N5,0,13.9,0.0,0,0
12,N3_N2,0,13.9,0.0,0,0
12,N3_N6,5,9.278318295663981,0.0,0,0
12,N4_N1,0,13.9,0.0,0,0
12,N4_N5,0,13.9,0.0,0,0
12,N4_N7,0,13.9,0.0,0,0
12,N5_N2,0,13.9,0.0,0,0
12,N5_N4,0,13.9,0.0,0,0
12,N5_N6,0,13.9,0.0,0,0
12,N5_N8,0,13.9,0.0,0,0
12,N6_N3,0,13.9,0.0,0,0
12,N6_N5,0,13.9,0.0,0,0
12,N6_N9,0,13.9,0.0,0,0
12,N7_N4,0,13.9,0.0,0,0
12,N7_N8,0,13.9,0.0,0,0
12,N8_N5,0,13.9,0.0,0,0
12,N8_N7,0,13.9,0.0,0,0
12,N8_N9,0,13.9,0.0,0,0
12,N9_N6,0,13.9,0.0,0,0
12,N9_N8,0,13.9,0.0,0,0
13,N1_N2,4,10.285333580021529,0.0,0,0
13,N1_N4,5,9.681350655544849,0.0,0,0
13,N2_N1,0,13.9,0.0,0,0
13,N2_N3,0,13.9,0.0,0,0
13,N2_N5,0,13.9,0.0,0,0
13,N3_N2,0,13.9,0.0,0,0
13,N3_N6,5,10.127761947138735,0.0,0,0
13,N4_N1,0,13.9,0.0,0,0
13,N4_N5,0,13.9,0.0,0,0
13,N4_N7,0,13.9,0.0,0,0
13,N5_N2,0,13.9,0.0,0,0
13,N5_N4,0,13.9,0.0,0,0
13,N5_N6,0,13.9,0.0,0,0
13,N5_N8,0,13.9,0.0,0,0
13,N6_N3,0,13.9,0.0,0,0
13,N6_N5,0,13.9,0.0,0,0
13,N6_N9,0,13.9,0.0,0,0
13,N7_N4,0,13.9,0.0,0,0
13,N7_N8,0,13.9,0.0,0,0
13,N8_N5,0,13.9,0.0,0,0
13,N8_N7,0,13.9,0.0,0,0
13,N8_N9,0,13.9,0.0,0,0
13,N9_N6,0,13.9,0.0,0,0
13,N9_N8,0,13.9,0.0,0,0
14,N1_N2,4,10.72881753441794,0.0,0,0
14,N1_N4,5,10.611006464821584,0.0,0,0
14,N2_N1,0,13.9,0.0,0,0
14,N2_N3,0,13.9,0.0,0,0
14,N2_N5,0,13.9,0.0,0,0
